 #x, h, forward, central, extrapolated, e(forward), e(central), e(extrapolated)
  0.1000000       1.000000     -0.5414081     -9.5725358E-02 -9.9820517E-02   6.423115       1.958851       1.999871    
  0.1000000      0.1000000     -0.1493758     -9.9791884E-02 -9.9832416E-02   2.496250       1.999584       1.999990    
  0.1000000      9.9999998E-03 -0.1048088     -9.9831820E-02 -9.9839769E-02   2.049837       1.999984       2.000064    
  0.1000000      9.9999993E-04 -0.1003146     -9.9837787E-02 -9.9758312E-02   2.004820       2.000044       1.999248    
  0.1000000      9.9999990E-05 -0.1001358     -0.1001358     -0.1001358       2.003029       2.003029       2.003029    
   1.000000       1.000000     -0.9564492     -0.8068454     -0.8413622       2.136639       1.958851       1.999871    
   1.000000      0.1000000     -0.8670619     -0.8411202     -0.8414702       2.030412       1.999583       1.999999    
   1.000000      9.9999998E-03 -0.8441567     -0.8414686     -0.8414766       2.003192       1.999997       2.000007    
   1.000000      9.9999993E-04 -0.8417369     -0.8414388     -0.8413594       2.000316       1.999962       1.999867    
   1.000000      9.9999990E-05 -0.8416176     -0.8410216     -0.8418164       2.000174       1.999466       2.000411    
   30.00000       1.000000      0.7604909      0.9473752      0.9879040      -1.769703      -1.958851      -1.999871    
   30.00000      0.1000000      0.9786832      0.9876049      0.9880165      -1.990538      -1.999568      -1.999985    
   30.00000      9.9999998E-03  0.9872660      0.9878621      0.9883687      -1.999225      -1.999828      -2.000341    
   30.00000      9.9999993E-04  0.9874106      0.9874851      0.9875050      -1.999371      -1.999447      -1.999467    
   30.00000      9.9999990E-05  0.9799005      0.9800495      0.9802482      -1.991770      -1.991921      -1.992122    
